Date,BFP,Fuel tax,Customs &excise,Equalization fund levy,Road accident fund,Transport cost,Petroleum Products levy,Wholesale margin,Secondary Storage,Secondary distribution,Retail margin,Slate levy,Delivery cost,DSML,Incremental inland transposrt recovery cost
7/1/26,1509.03,416.00,4.00,0.50,225.00,91.10,0.33,99.17,39.00,19.10,0,113.94,0,0,0.0
6/1/26,2021.03,219.00,4.00,0.50,225.00,91.10,0.33,99.17,39.00,19.10,0,157.74,0,0,0.0
5/1/26,2606.10,23.00,4.00,0.50,225.00,91.10,0.33,99.17,39.00,19.10,0,122.70,0,0,0.0
4/1/26,2017.03,116.00,4.00,0.50,225.00,91.10,0.33,99.17,39.00,19.10,0,0.00,0,0,0.0
3/1/26,991.03,402.00,4.00,0.50,218.00,87.10,0.33,99.17,39.00,19.10,0,0.00,0,0,0.0
2/1/26,927.03,402.00,4.00,0.50,218.00,87.10,0.33,99.17,39.00,19.10,0,0.00,0,0,0.0
1/1/26,983.03,402.00,4.00,0.50,218.00,87.10,0.33,99.17,39.00,19.10,0,0.00,0,0,0.0
12/1/25,1133.03,402.00,4.00,0.50,218.000 ,87.10,0.330 ,99.17,39.00,19.10,0,0.00,0,0,0.0
11/1/25,1056.03,402.00,4.00,0.50,218.000 ,87.10,0.330 ,94.990 ,38.00,18.80,0,0.00,0,0,0.0
10/1/25,1075.03,402.00,4.00,0.50,218.000 ,87.10,0.330 ,94.990 ,38.00,18.80,0,0.00,0,0,0.0
9/1/25,1083.03,402.00,4.00,0.50,218.000 ,87.10,0.330 ,94.990 ,38.00,18.80,0,0.00,0,0,0.0
8/1/25,1140.03,402.00,4.00,0.50,218.000 ,87.10,0.330 ,94.990 ,38.00,18.80,0,0.00,0,0,0.0
7/1/25,1077.03,402.00,4.00,0.50,218.000 ,87.10,0.330 ,94.990 ,38.00,18.80,0,0.00,0,0,0.0
6/1/25,993.03,402.00,4.00,0.50,218.000 ,87.10,0.330 ,94.990 ,38.00,18.80,0,0.00,0,0,0.0
5/1/25,1045.03,387.00,4.00,0.50,218.000 ,87.00,0.330 ,94.990 ,38.00,18.80,0,0.00,0,0,0.0
4/1/25,1086.03,387.00,4.00,0.50,218.000 ,87.00,0.330 ,94.990 ,38.00,18.80,0,0.00,0,0,0.0
3/1/25,1179.03,384.000 ,4.000 ,0.50,218.000 ,82.800 ,0.330 ,94.990 ,38.00,18.80,0,0.00,0,0,0.0
2/1/25,1202.03,384.000 ,4.000 ,1.00,218.000 ,82.800 ,0.330 ,94.990 ,38.00,18.80,0,0.00,0,0,0.0
1/1/25,1101.03,384.000 ,4.000 ,1.00,218.000 ,82.800 ,0.330 ,94.990 ,38.00,18.00,0,0.00,0,0,0.0
12/1/24,1 090.030 ,384.000 ,4.000 ,0.100 ,218.000 ,82.800 ,0.330 ,94.990 ,38.400 ,18.900 ,0,0.00,0,0,0.0
11/1/24,1 043.030 ,384.000 ,4.000 ,0.100 ,218.000 ,82.800 ,0.330 ,89.610 ,36.600 ,17.200 ,0,0.00,0,0,0.0
10/1/24,1 023.030 ,384.000 ,4.000 ,0.100 ,218.000 ,82.800 ,0.330 ,89.610 ,36.600 ,17.200 ,0,0.00,0,0,0.0
9/1/24,1 135.030 ,384.000 ,4.000 ,0.100 ,218.000 ,82.800 ,0.330 ,89.610 ,36.600 ,17.200 ,0,0.00,0,0,0.0
8/1/24,1 240.030 ,384.000 ,4.000 ,0.100 ,218.000 ,82.800 ,0.330 ,89.610 ,36.600 ,17.200 ,0,0.00,0,0,0.0
7/1/24,1 257.030 ,384.000 ,4.000 ,0.100 ,218.000 ,82.800 ,0.330 ,89.610 ,36.600 ,17.200 ,0,0.00,0,0,0.0
6/1/24,1 277.030 ,384.000 ,4.000 ,0.100 ,218.000 ,82.800 ,0.330 ,89.610 ,36.600 ,17.200 ,0,4.38,0,0,0.0
5/1/24,1 368.030 ,384.000 ,4.000 ,0.100 ,218.000 ,82.800 ,0.330 ,89.610 ,36.600 ,17.200 ,0,21.92,0,0,0.0
4/1/24,1 404.030 ,384.000 ,4.000 ,0.100 ,218.000 ,82.800 ,0.330 ,89.610 ,36.600 ,17.200 ,0,21.92,0,0,0.0
3/1/24,1 438.030 ,381.000 ,4.000 ,0.100 ,218.000 ,75.700 ,0.330 ,89.610 ,36.600 ,17.200 ,0,0.00,0,0,0.0
2/1/24,1 320.030 ,381.000 ,4.000 ,0.100 ,218.000 ,75.700 ,0.330 ,89.610 ,36.600 ,17.200 ,0,0.00,0,0,0.0
1/1/24,1 250.030 ,381.000 ,4.000 ,0.100 ,218.000 ,75.700 ,0.330 ,89.610 ,36.600 ,17.200 ,0,0.00,0,0,0.0
12/1/23,1350.03,381.000 ,4.000 ,0.100 ,218.000 ,75.700 ,0.330 ,89.610 ,36.600 ,17.200 ,0,26.32,0,0,0.0
11/1/23,1579.030 ,381.000 ,4.000 ,0.100 ,218.000 ,75.700 ,0.330 ,83.830 ,28.800 ,16.900 ,0,52.62,0,0,0.0
10/1/23,1683.030 ,381.000 ,4.000 ,0.100 ,218.000 ,75.700 ,0.330 ,83.830 ,28.800 ,16.900 ,0,30.70,0,0,0.0
9/1/23,1520.030 ,381.000 ,4.000 ,0.100 ,218.000 ,75.700 ,0.330 ,83.830 ,28.800 ,16.900 ,0,0.00,0,0,0.0
8/1/23,1244.030 ,381.000 ,4.000 ,0.100 ,218.000 ,75.700 ,0.330 ,83.830 ,28.800 ,16.900 ,0,0.00,0,0,0.0
7/1/23,1173.030 ,381.000 ,4.000 ,0.100 ,218.000 ,75.700 ,0.330 ,83.830 ,28.800 ,16.900 ,0,0.00,0,0,0.0
6/1/23,1161.030 ,381.000 ,4.000 ,0.100 ,218.000 ,75.700 ,0.330 ,83.830 ,28.800 ,16.900 ,0,0.00,0,0,0.0
5/1/23,1240.030 ,382.000 ,4.000 ,0.100 ,218.000 ,75.700 ,0.330 ,83.830 ,28.800 ,16.900 ,0,0.00,0,0,0.0
4/1/23,1272.030 ,380.000 ,4.000 ,0.100 ,218.000 ,75.700 ,0.330 ,83.830 ,28.800 ,16.900 ,0,17.54,0,0,0.0
3/1/23,1 350.030 ,380.000 ,4.000 ,0.100 ,218.000 ,67.900 ,0.330 ,83.830 ,28.800 ,16.900 ,0,21.92,0,0,0.0
2/1/23,1 323.030 ,380.000 ,4.000 ,0.100 ,218.000 ,67.900 ,0.330 ,83.830 ,28.800 ,16.900 ,0,17.54,0,0,0.0
1/1/23,1 280.030 ,380.000 ,4.000 ,0.100 ,218.000 ,67.900 ,0.330 ,83.830 ,28.800 ,16.900 ,0,61.38,0,0,0.0
12/1/22,1539.030 ,380.00 ,4.000 ,0.100 ,218.000 ,67.90 ,0.330 ,83.830 ,28.800 ,16.900 ,0,83.28,0,0,0.0
11/1/22,1705.030 ,380.00 ,4.000 ,0.100 ,218.000 ,67.90 ,0.330 ,80.220 ,30.700 ,17.940 ,0,70.14,0,0,0.0
10/1/22,1548.030 ,380.000 ,4.000 ,0.100 ,218.000 ,67.90 ,0.330 ,80.220 ,30.700 ,17.940 ,0,83.28,0,0,0.0
9/1/22,1533.030 ,380.000 ,4.000 ,0.100 ,218.000 ,67.90 ,0.330 ,80.220 ,30.700 ,17.940 ,0,83.28,0,0,0.0
8/1/22,1610.030 ,380.000 ,4.000 ,0.100 ,218.000 ,67.90 ,0.330 ,80.220 ,30.700 ,17.940 ,0,52.62,0,0,0.0
7/1/22,1776.030 ,305.000 ,4.000 ,0.100 ,218.000 ,67.90 ,0.330 ,80.220 ,30.700 ,17.940 ,0,52.62,0,0,0.0
6/1/22,1621.030 ,230.000 ,4.000 ,0.100 ,218.000 ,67.90 ,0.330 ,80.220 ,30.700 ,17.940 ,0,52.62,0,0,0.0
5/1/22,1514.030 ,230.000 ,4.000 ,0.100 ,218.000 ,67.90 ,0.330 ,80.220 ,30.700 ,17.940 ,0,52.62,0,0,0.0
4/1/22,1425.030 ,230.000 ,4.000 ,0.100 ,218.000 ,64.90 ,0.330 ,80.220 ,30.700 ,17.940 ,0,52.62,0,0,0.0
3/1/22,1114.030 ,379.000 ,4.000 ,0.100 ,218.000 ,64.90 ,0.330 ,80.220 ,30.700 ,17.940 ,0,"46,06",0,0,0.0
2/1/22,981.030 ,379.000 ,4.000 ,0.100 ,218.000 ,64.90 ,0.330 ,80.220 ,30.700 ,17.940 ,0,30.70,0,0,0.0
1/1/22,889.030 ,379.000 ,4.000 ,0.100 ,218.000 ,64.90 ,0.330 ,80.220 ,30.700 ,17.940 ,0,43.86,0,0,0.0
12/1/21,961.030 ,379.000 ,4.000 ,0.100 ,218.000 ,64.90 ,0.330 ,80.220 ,30.700 ,17.940 ,0,41.66,0,0,0.0
11/1/21,921.030 ,379.000 ,4.000 ,0.100 ,218.000 ,64.90 ,0.330 ,77.660 ,27.200 ,15.800 ,0,15.36,0,0,0.0
10/1/21,775.030 ,379.000 ,4.000 ,0.100 ,218.000 ,64.90 ,0.330 ,77.660 ,27.200 ,15.800 ,0,13.16,0,0,0.0
9/1/21,750.030 ,379.000 ,4.000 ,0.100 ,218.000 ,64.90 ,0.330 ,77.660 ,27.200 ,15.800 ,0,15.36,0,0,0.0
8/1/21,773.030 ,379.000 ,4.000 ,0.100 ,218.000 ,64.90 ,0.330 ,77.660 ,27.200 ,15.800 ,0,6.58,0,0,0.0
7/1/21,725.030 ,379.000 ,4.000 ,0.100 ,218.000 ,64.90 ,0.330 ,77.660 ,27.200 ,15.800 ,0,0.00,0,0,0.0
6/1/21,684.030 ,379.000 ,4.000 ,0.100 ,218.000 ,64.90 ,0.330 ,77.660 ,27.200 ,15.800 ,0,0.00,0,0,0.0
5/1/21,663.030 ,379.000 ,4.000 ,0.100 ,218.000 ,64.90 ,0.330 ,77.660 ,27.200 ,15.800 ,0,0.00,0,0,0.0
4/1/21,693.030 ,379.000 ,4.000 ,0.100 ,218.000 ,64.90 ,0.330 ,77.660 ,27.200 ,15.800 ,0,0.00,0,0,0.0
3/1/21,658.030 ,363.000 ,4.000 ,0.100 ,207.000 ,63.400 ,0.330 ,77.660 ,27.200 ,15.800 ,0,0.00,0,0,0.0
2/1/21,602.030 ,363.000 ,4.000 ,0.100 ,207.000 ,63.400 ,0.330 ,77.660 ,27.200 ,15.800 ,0,0.00,0,0,0.0
1/1/21,543.030 ,363.000 ,4.000 ,0.100 ,207.000 ,63.400 ,0.330 ,77.660 ,27.200 ,15.800 ,0,0.00,0,0,0.0
12/1/20,489.030 ,363.000 ,4.000 ,0.100 ,207.000 ,63.700 ,0.330 ,77.6600 ,27.50 ,15.800 ,0,0.00,0,0,0.0
11/1/20,477.030 ,363.000 ,4.000 ,0.100 ,207.000 ,63.700 ,0.330 ,74.600 ,23.00 ,15.200 ,0,0.00,0,0,0.0
10/1/20,488.030 ,363.000 ,4.000 ,0.100 ,207.000 ,63.700 ,0.330 ,74.600 ,23.00 ,15.200 ,0,0.00,0,0,0.0
9/1/20,581.030 ,363.000 ,4.000 ,0.100 ,207.000 ,63.700 ,0.330 ,74.600 ,23.00 ,15.200 ,0,0.00,0,0,0.0
8/1/20,602.030 ,363.000 ,4.000 ,0.100 ,207.000 ,63.700 ,0.330 ,74.600 ,23.00 ,15.200 ,0,0.00,0,0,0.0
7/1/20,557.030 ,363.000 ,4.000 ,0.100 ,207.000 ,63.700 ,0.330 ,74.600 ,23.00 ,15.200 ,0,0.00,0,0,0.0
6/1/20,388.030 ,363.000 ,4.000 ,0.100 ,207.000 ,63.700 ,0.330 ,74.600 ,23.00 ,15.200 ,0,0.00,0,0,0.0
5/1/20,367.030 ,363.000 ,4.000 ,0.100 ,207.000 ,63.700 ,0.330 ,74.600 ,23.00 ,15.200 ,0,0.00,0,0,0.0
4/1/20,523.120 ,363.000 ,4.000 ,0.100 ,207.000 ,63.700 ,0.330 ,74.600 ,23.00 ,15.200 ,0,0.00,0,0,0.0
3/1/20,689.030 ,347.000 ,4.000 ,0.100 ,198.00 ,57.400 ,0.330 ,74.600 ,23.00 ,15.200 ,0,0.00,0,0,0.0
2/1/20,743.030 ,347.000 ,4.000 ,0.100 ,198.00 ,57.400 ,0.330 ,74.600 ,23.00 ,15.200 ,0,0.00,0,0,0.0
1/1/20,748.030 ,347.000 ,4.000 ,0.100 ,198.00 ,57.400 ,0.330 ,74.600 ,23.00 ,15.200 ,0,0.00,0,0,0.0
12/1/19,739.030 ,347.000 ,4.000 ,0.100 ,198.00 ,57.400 ,0.330 ,74.600 ,23.00 ,15.200 ,0,0.00,0,0,0.0
11/1/19,761.030 ,347.000 ,4.000 ,0.100 ,198.00 ,57.400 ,0.330 ,71.250 ,20.900 ,14.600 ,0,0.00,0,0,0.0
10/1/19,775.030 ,347.000 ,4.000 ,0.100 ,198.00 ,57.400 ,0.330 ,71.250 ,20.900 ,14.600 ,0,0.00,0,0,0.0
9/1/19,750.030 ,347.000 ,4.000 ,0.100 ,198.00 ,57.400 ,0.330 ,71.250 ,20.900 ,14.600 ,0,0.00,0,0,0.0
8/1/19,724.030 ,347.000 ,4.000 ,0.100 ,198.00 ,57.400 ,0.330 ,71.250 ,20.900 ,14.600 ,0,0.00,0,0,0.0
7/1/19,734.030 ,347.000 ,4.000 ,0.010 ,198.00 ,57.400 ,0.330 ,71.250 ,20.900 ,14.600 ,0,4.38,0,0,0.0
6/1/19,801.030 ,347.000 ,4.000 ,0.010 ,198.00 ,57.400 ,0.330 ,71.250 ,20.900 ,14.600 ,0,13.16,0,0,0.0
5/1/19,791.030 ,337.000 ,4.000 ,0.010 ,198.00 ,57.400 ,0.330 ,71.250 ,20.900 ,14.600 ,0,0.00,0,0,0.0
4/1/19,791.030 ,337.000 ,4.000 ,0.010 ,198.00 ,57.400 ,0.330 ,71.250 ,20.900 ,14.600 ,0,0.00,0,0,0.0
3/1/19,734.030 ,322.000 ,4.000 ,0.010 ,193.00 ,51.700 ,0.330 ,71.250 ,20.900 ,14.600 ,0,0.00,0,0,0.0
2/1/19,641.630 ,322.000 ,4.000 ,0.010 ,193.00 ,51.700 ,0.330 ,71.250 ,20.900 ,14.600 ,0,0.00,0,0,0.0
1/1/19,639.030 ,322.000 ,4.000 ,0.010 ,193.00 ,51.700 ,0.330 ,71.250 ,20.900 ,14.600 ,0,0.00,0,0,0.0
12/1/18,773.030 ,322.000 ,4.000 ,0.010 ,193.00 ,51.700 ,0.330 ,71.250 ,20.900 ,14.600 ,0,21.92,0,0,0.0
11/1/18,925.030 ,322.000 ,4.000 ,0.010 ,193.00 ,51.700 ,0.330 ,67.660 ,18.600 ,15.900 ,0,21.92,0,0,0.0
10/1/18,896.030 ,322.000 ,4.000 ,0.010 ,193.00 ,51.700 ,0.330 ,67.660 ,18.600 ,15.900 ,0,0.00,0,0,0.0
9/1/18,772.030 ,322.000 ,4.000 ,0.010 ,193.00 ,51.700 ,0.330 ,67.660 ,18.600 ,15.900 ,0,0.00,0,0,0.0
8/1/18,772.030 ,322.000 ,4.000 ,0.010 ,193.00 ,51.700 ,0.330 ,67.660 ,18.600 ,15.900 ,0,0.00,0,0,0.0
7/1/18,776.030 ,322.000 ,4.000 ,0.010 ,193.00 ,51.700 ,0.330 ,67.660 ,18.600 ,15.900 ,0,0.00,0,0,0.0
6/1/18,752.030 ,322.000 ,4.000 ,0.010 ,193.00 ,51.700 ,0.330 ,67.660 ,18.600 ,15.900 ,0,0.00,0,0,0.0
5/1/18,665.030 ,322.000 ,4.000 ,0.010 ,193.00 ,51.700 ,0.330 ,67.660 ,18.600 ,15.900 ,0,0.00,0,0,0.0
4/1/18,607.030 ,322.000 ,4.000 ,0.010 ,193.00 ,51.700 ,0.330 ,67.660 ,18.600 ,15.900 ,0,0.00,0,0,0.0
3/1/18,604.030 ,300.000 ,4.000 ,0.010 ,163.00 ,41.500 ,0.330 ,67.660 ,18.600 ,15.900 ,0,0.00,0,0,0.0
2/1/18,648.030 ,300.000 ,4.000 ,0.010 ,163.00 ,41.500 ,0.330 ,67.660 ,18.600 ,15.900 ,0,0.00,0,0,0.0
1/1/18,665.030 ,300.000 ,4.000 ,0.010 ,163.00 ,41.500 ,0.330 ,67.660 ,18.600 ,15.900 ,0,0.00,0,0,0.0
12/1/17,691.030 ,300.000 ,4.000 ,0.010 ,163.00 ,41.500 ,0.330 ,67.660 ,18.600 ,15.900 ,0,0.00,0,0,0.0
11/1/17,633.033 ,300.000 ,4.000 ,0.010 ,163.00 ,41.500 ,0.330 ,67.660 ,17.900 ,17.300 ,0,0.00,0,0,0.0
10/1/17,606.030 ,300.000 ,4.000 ,0.010 ,163.00 ,41.500 ,0.330 ,67.660 ,17.900 ,17.300 ,0,0.00,0,0,0.0
9/1/17,564.030 ,300.000 ,4.000 ,0.010 ,163.00 ,41.500 ,0.330 ,67.660 ,17.900 ,17.300 ,0,0.00,0,0,0.0
8/1/17,520.030 ,300.000 ,4.000 ,0.010 ,163.00 ,41.500 ,0.330 ,67.660 ,17.900 ,17.300 ,0,0.00,0,0,0.0
7/1/17,490.030 ,300.000 ,4.000 ,0.010 ,163.00 ,41.500 ,0.330 ,67.660 ,17.900 ,17.300 ,0,0.00,0,0,0.0
6/1/17,550.030 ,300.000 ,4.000 ,0.010 ,163.00 ,41.500 ,0.330 ,67.660 ,17.900 ,17.300 ,0,0.00,0,0,0.0
5/1/17,573.030 ,300.000 ,4.000 ,0.010 ,163.000 ,41.500 ,0.330 ,67.660 ,17.900 ,17.300 ,0,0.00,0,0,0.0
4/1/17,541.030 ,300.000 ,4.000 ,0.010 ,163.000 ,41.500 ,0.330 ,67.660 ,17.900 ,17.300 ,0,0.00,0,0,0.0
3/1/17,591.030 ,270.000 ,4.000 ,0.010 ,154.00 ,41.000 ,0.330 ,67.660 ,17.900 ,17.300 ,0,0.00,0,0,0.0
2/1/17,593.030 ,270.000 ,4.000 ,0.010 ,154.00 ,41.000 ,0.330 ,67.660 ,17.900 ,17.300 ,0,0.00,0,0,0.0
1/1/17,572.030 ,270.000 ,4.000 ,0.010 ,154.00 ,41.000 ,0.330 ,67.660 ,17.900 ,17.300 ,0,0.00,0,0,0.0
12/1/16,535.030 ,270.00 ,4.000 ,0.010 ,154.00 ,270.00 ,0.330 ,67.660 ,17.900 ,17.300 ,0,0.00,0,0,0.0
11/1/16,572.030 ,270.000 ,4.000 ,0.010 ,154.00 ,41.000 ,0.330 ,64.700 ,18.500 ,13.700 ,0,0.00,0,0,0.0
10/1/16,509.030 ,270.000 ,4.000 ,0.010 ,154.00 ,41.000 ,0.330 ,64.700 ,18.500 ,13.700 ,0,0.00,0,0,0.0
9/1/16,486.030 ,270.000 ,4.000 ,0.010 ,154.00 ,41.000 ,0.330 ,64.700 ,18.500 ,13.700 ,0,0.00,0,0,0.0
8/1/16,535.030 ,270.000 ,4.000 ,0.010 ,154.00 ,41.000 ,0.330 ,64.700 ,18.500 ,13.700 ,0,0.00,0,0,0.0
7/1/16,608.030 ,270.000 ,4.000 ,0.010 ,154.00 ,41.000 ,0.330 ,64.700 ,18.500 ,13.700 ,0,0.00,0,0,0.0
