Date,BFP ,Fuel tax ,Customs &excise ,Equalization fund levy ,Road accident fund ,Transport cost ,Petroleum Products levy,Wholesale margin ,Secondary Storage,Secondary distribution,Retail margin ,Slate levy ,Delivery cost,DSML,Incremental inland transposrt recovery cost
7/1/26,1307.13,429,4,0,225,91.1,0.33,66.5,39,19.1,315.1,113.94,0,0,0
6/1/26,1609.33,279,4,0,225,91.1,0.33,66.5,39,19.1,315.1,157.74,0,0,0
5/1/26,1651.37,129,4,0,225,91.1,0.33,66.5,39,19.1,315.1,122.7,0,0,0
4/1/26,1447.17,129,4,0,225,91.1,0.33,66.5,39,19.1,315.1,0,0,0,0
3/1/26,866.17,415,4,0,218,87.1,0.33,66.5,39,19.1,315.1,0,0,0,0
2/1/26,846.17,415,4,0,218,87.1,0.33,66.5,39,19.1,315.1,0,0,0,0
1/1/26,911.17,415,4,0,218,87.1,0.33,66.5,39,19.1,315.1,0,0,0,0
12/1/25,977.17,415,4,0,218,87.1,0.33,66.5,39,19.1,315.1,0,0,0,0
11/1/25,951.77,415,4,0,218,87.1,0.33,73.7,38,18.8,305.6,0,0,0,0
10/1/25,1002.77,415,4,0,218,87.1,0.33,73.7,38,18.8,305.6,0,0,0,0
9/1/25,1000.87,415,4,0,218,87.1,0.33,73.7,38,18.8,299.5,0,0,0,0
8/1/25,1004.87,415,4,0,218,87.1,0.33,73.7,38,18.8,299.5,0,0,0,0
7/1/25,1032.87,415,4,0,218,87.1,0.33,73.7,38,18.8,299.5,0,0,0,0
6/1/25,980.87,415,4,0,218,87.1,0.33,73.7,38,18.8,299.5,0,0,0,0
5/1/25,1001.87,399,4,0,218,87,0.33,73.7,38,18.8,299.5,0,0,0,0
4/1/25,1023.87,399,4,0,218,87,0.33,73.7,38,18.8,299.5,0,0,0,0
3/1/25,1102.87,396,4,0,218,82.8,0.33,73.7,38,18.8,299.5,0,0,0,0
2/1/25,1109.87,396,4,0,218,82.8,0.33,73.7,38,18.8,299.5,0,0,0,0
1/1/25,1027.87,396,4,0,218,82.8,0.33,73.7,38,18.8,299.5,0,0,0,0
12/1/24,1015.67,396,4,0,218,82.8,0.33,73.7,38,18.8,299.5,0,0,0,0
11/1/24,1024.739,396,4,0,218,82.800 ,0.330 ,69.800 ,36.600 ,17.200 ,291,0,0,0,0
10/1/24,989.07,396.000 ,4.000 ,0.000 ,218.000 ,82.800 ,0.330 ,69.800 ,36.600 ,17.200 ,291,0,0,0,0
9/1/24,1103.27,396.000 ,4.000 ,0.000 ,218.000 ,82.800 ,0.330 ,69.800 ,36.600 ,17.200 ,291,0,0,0,0
8/1/24,1200.57,396.000 ,4.000 ,0.000 ,218.000 ,82.800 ,0.330 ,69.800 ,36.600 ,17.200 ,285.700 ,0,0,0,0
7/1/24,1215.570 ,396.000 ,4.000 ,0.000 ,218.000 ,82.800 ,0.330 ,69.800 ,36.600 ,17.200 ,285.700 ,4.38 ,0,0,0
6/1/24,1310.190 ,396.000 ,4.000 ,0.000 ,218.000 ,82.800 ,0.330 ,69.800 ,36.600 ,17.200 ,285.700 ,4.38 ,0,0,0
5/1/24,1416.650 ,396.000 ,4.000 ,0.000 ,218.000 ,82.800 ,0.330 ,69.800 ,36.600 ,17.200 ,285.700 ,21.92 ,0,0,0
4/1/24,1379.650 ,396.000 ,4.000 ,0.000 ,218.000 ,82.800 ,0.330 ,69.800 ,36.600 ,17.200 ,285.700 ,21.92 ,0,0,0
3/1/24,1343.070 ,395.000 ,4.000 ,0.000 ,218.000 ,75.700 ,0.330 ,69.800 ,36.600 ,17.200 ,285.700 ,0.000 ,0,0,0
2/1/24,1221.870 ,395.000 ,4.000 ,0.000 ,218.000 ,75.700 ,0.330 ,69.800 ,36.600 ,17.200 ,285.700 ,0.000 ,0,0,0
1/1/24,1146.870 ,395.000 ,4.000 ,0.000 ,218.000 ,75.700 ,0.330 ,69.800 ,36.600 ,17.200 ,285.700 ,0.000 ,0,0,0
12/1/23,1196.550 ,395.000 ,4.000 ,0.000 ,218.000 ,75.700 ,0.330 ,69.800 ,36.600 ,17.200 ,285.700 ,26.32 ,0,0,0
11/1/23,1295.350 ,395.000 ,4.000 ,0.000 ,218.000 ,75.700 ,0.330 ,56.600 ,28.800 ,16.900 ,246.900 ,52.62 ,0,0,0
10/1/23,1495.270 ,395.000 ,4.000 ,0.000 ,218.000 ,75.700 ,0.330 ,56.600 ,28.800 ,16.900 ,246.900 ,30.70 ,0,0,0
9/1/23,1411.970 ,395.000 ,4.000 ,0.000 ,218.000 ,75.700 ,0.330 ,56.600 ,28.800 ,16.900 ,246.900 ,0.00 ,0,0,0
8/1/23,1245.970 ,395.000 ,4.000 ,0.000 ,218.000 ,75.700 ,0.330 ,56.600 ,28.800 ,16.900 ,241.900 ,0.00 ,0,0,0
7/1/23,1208.970 ,395.000 ,4.000 ,0.000 ,218.000 ,75.700 ,0.330 ,56.600 ,28.800 ,16.900 ,241.900 ,0.00 ,0,0,0
6/1/23,1225.970 ,395.000 ,4.000 ,0.000 ,218.000 ,75.700 ,0.330 ,56.600 ,28.800 ,16.900 ,241.900 ,0.00 ,0,0,0
5/1/23,1295.970 ,396.000 ,4.000 ,0.000 ,218.000 ,75.700 ,0.330 ,56.600 ,28.800 ,16.900 ,241.900 ,0.00 ,0,0,0
4/1/23,1243.430 ,394.000 ,4.000 ,0.000 ,218.000 ,75.700 ,0.330 ,56.600 ,28.800 ,16.900 ,241.900 ,17.54 ,0,0,0
3/1/23,1244.850 ,394.000 ,4.000 ,0.000 ,218.000 ,67.900 ,0.330 ,56.600 ,28.800 ,16.900 ,241.900 ,21.92 ,0,0,0
2/1/23,1122.230 ,394.000 ,4.000 ,0.000 ,218.000 ,67.900 ,0.330 ,56.600 ,28.800 ,16.900 ,241.900 ,17.54 ,0,0,0
1/1/23,1050.390 ,394.000 ,4.000 ,0.000 ,218.000 ,67.900 ,0.330 ,56.600 ,28.800 ,16.900 ,241.900 ,61.38 ,0,0,0
12/1/22,1234.490 ,394.00 ,4.000 ,0.000 ,218.000 ,67.90 ,0.330 ,56.600 ,28.800 ,16.900 ,241.900 ,83.28 ,0.000 ,0,0
11/1/22,1209.890 ,394.00 ,4.000 ,0.000 ,218.000 ,67.90 ,0.330 ,45.500 ,30.700 ,17.940 ,228.800 ,70.14 ,0.000 ,0,0
10/1/22,1145.750 ,394.00 ,4.000 ,0.000 ,218.000 ,67.90 ,0.330 ,45.500 ,30.700 ,17.940 ,228.800 ,83.28 ,0.000 ,0,0
9/1/22,1247.750 ,394.00 ,4.000 ,0.000 ,218.000 ,67.90 ,0.330 ,45.500 ,30.700 ,17.940 ,228.800 ,83.28 ,0.000 ,0,0
8/1/22,1482.410 ,394.00 ,4.000 ,0.000 ,218.000 ,67.90 ,0.330 ,45.500 ,30.700 ,17.940 ,228.800 ,52.62 ,0.000 ,0,0
7/1/22,1689.410 ,319.00 ,4.000 ,0.000 ,218.000 ,67.90 ,0.330 ,45.500 ,30.700 ,17.940 ,228.800 ,52.62 ,0.000 ,0,0
6/1/22,1507.410 ,244.00 ,4.000 ,0.000 ,218.000 ,67.90 ,0.330 ,45.500 ,30.700 ,17.940 ,228.800 ,52.62 ,0.000 ,0,0
5/1/22,1264.410 ,244.00 ,4.000 ,0.000 ,218.000 ,67.90 ,0.330 ,45.500 ,30.700 ,17.940 ,228.800 ,52.62 ,0.000 ,10,0
4/1/22,1278.710 ,244.00 ,4.000 ,0.000 ,218.000 ,64.900 ,0.330 ,45.500 ,30.700 ,17.940 ,228.800 ,52.62 ,0.000 ,10,0
3/1/22,1100.270 ,393.00 ,4.000 ,0.000 ,218.000 ,64.900 ,0.330 ,45.500 ,30.700 ,17.940 ,228.800 ,46.06 ,0.000 ,10,0
2/1/22,969.630 ,393.00 ,4.000 ,0.000 ,218.000 ,64.900 ,0.330 ,45.500 ,30.700 ,17.940 ,228.800 ,30.70 ,0.000 ,10,0
1/1/22,903.470 ,393.00 ,4.000 ,0.000 ,218.000 ,64.900 ,0.330 ,45.500 ,30.700 ,17.940 ,228.800 ,43.86 ,0.000 ,10,0
12/1/21,973.970 ,393.00 ,4.000 ,0.000 ,218.000 ,64.900 ,0.330 ,45.500 ,30.700 ,17.940 ,228.800 ,41.66 ,0.000 ,10,0
11/1/21,937.110 ,393.00 ,4.000 ,0.000 ,218.000 ,64.900 ,0.330 ,40.500 ,27.200 ,15.800 ,221.600 ,15.36 ,0.000 ,10,0
10/1/21,818.310 ,393.00 ,4.000 ,0.000 ,218.000 ,64.900 ,0.330 ,40.500 ,27.200 ,15.800 ,221.600 ,13.16 ,0.000 ,10,0
9/1/21,817.110 ,393.00 ,4.000 ,0.000 ,218.000 ,64.900 ,0.330 ,40.500 ,27.200 ,15.800 ,221.600 ,15.36 ,0.000 ,10,0
8/1/21,827.590 ,393.00 ,4.000 ,0.000 ,218.000 ,64.900 ,0.330 ,40.500 ,27.200 ,15.800 ,221.600 ,6.58 ,0.000 ,10,0
7/1/21,743.170 ,393.00 ,4.000 ,0.000 ,218.000 ,64.900 ,0.330 ,40.500 ,27.200 ,15.800 ,221.600 ,0.00 ,0.000 ,10,0
6/1/21,717.170 ,393.00 ,4.000 ,0.000 ,218.000 ,64.900 ,0.330 ,40.500 ,27.200 ,15.800 ,221.600 ,0.00 ,0.000 ,10,0
5/1/21,727.170 ,393.00 ,4.000 ,0.000 ,218.000 ,64.900 ,0.330 ,40.500 ,27.200 ,15.800 ,221.600 ,0.00 ,0.000 ,10,0
4/1/21,736.170 ,393.000 ,4.000 ,0.000 ,218.000 ,64.900 ,0.330 ,40.500 ,27.200 ,15.800 ,221.600 ,0.00 ,0.000 ,10,0
3/1/21,658.170 ,377.000 ,4.000 ,0.000 ,207.000 ,63.700 ,0.330 ,40.500 ,27.200 ,15.800 ,221.600 ,0.00 ,0.000 ,10,0
2/1/21,600.170 ,377.000 ,4.000 ,0.000 ,207.000 ,63.700 ,0.330 ,40.500 ,27.200 ,15.800 ,221.600 ,0.00 ,0.000 ,10,0
1/1/21,519.170 ,377.000 ,4.000 ,0.000 ,207.000 ,63.700 ,0.330 ,40.500 ,27.200 ,15.800 ,221.600 ,0.00 ,0.000 ,10,0
12/1/20,479.170 ,377.000 ,4.000 ,0.000 ,207.000 ,63.700 ,0.330 ,40.5 ,27.20 ,15.800 ,221.900 ,0.00 ,0.000 ,10,0
11/1/20,506.470 ,377.000 ,4.000 ,0.000 ,207.000 ,63.700 ,0.330 ,35.7 ,23.00 ,15.200 ,216.900 ,0.00 ,0.000 ,10,0
10/1/20,533.477 ,377.000 ,4.000 ,0.000 ,207.000 ,63.700 ,0.330 ,35.7 ,23.00 ,15.200 ,216.900 ,0.00 ,0.000 ,10,0
9/1/20,565.470 ,377.000 ,4.000 ,0.000 ,207.000 ,63.700 ,0.330 ,35.7 ,23.00 ,15.200 ,216.900 ,0.00 ,0.000 ,10,0
8/1/20,569.770 ,377.000 ,4.000 ,0.000 ,207.000 ,63.700 ,0.330 ,35.7 ,23.00 ,15.200 ,211.600 ,0.00 ,0.000 ,10,0
7/1/20,564.770 ,377.000 ,4.000 ,0.000 ,207.000 ,63.700 ,0.330 ,35.7 ,23.00 ,15.200 ,211.600 ,0.00 ,0.000 ,10,0
6/1/20,392.770 ,377.000 ,4.000 ,0.000 ,207.000 ,63.700 ,0.330 ,35.7 ,23.00 ,15.200 ,211.600 ,0.00 ,0.000 ,10,0
5/1/20,274.770 ,377.000 ,4.000 ,0.000 ,207.000 ,63.700 ,0.330 ,35.7 ,23.00 ,15.200 ,211.600 ,0.00 ,0.000 ,10,0
4/1/20,448.670 ,377.000 ,4.000 ,0.000 ,207.000 ,63.700 ,0.330 ,35.7 ,23.00 ,15.200 ,211.600 ,0.00 ,0.000 ,10,0
3/1/20,667.970 ,361.000 ,4.000 ,0.000 ,198.000 ,57.400 ,0.330 ,35.7 ,23.00 ,15.200 ,211.600 ,0.00 ,0.000 ,10,0
2/1/20,686.970 ,361.000 ,4.000 ,0.000 ,198.000 ,57.400 ,0.330 ,35.7 ,23.00 ,15.200 ,211.600 ,0.00 ,0.000 ,10,0
1/1/20,699.970 ,361.000 ,4.000 ,0.000 ,198.000 ,57.400 ,0.330 ,35.7 ,23.00 ,15.200 ,211.600 ,0.00 ,0.000 ,10,0
12/1/19,719.57,361,4.000 ,0.00 ,198.000 ,57.400 ,0.330 ,35.7 ,23.00 ,15.200 ,206,0.00 ,0.00 ,10,0
11/1/19,709.17,361,4.000 ,0.00 ,198.000 ,57.400 ,0.330 ,34.800 ,20.900 ,14.600 ,198.00 ,0.00 ,0.00 ,10,0
10/1/19,722.17,361,4.000 ,0.00 ,198.000 ,57.400 ,0.330 ,34.800 ,20.900 ,14.600 ,198.00 ,0.00 ,0.00 ,10,0
9/1/19,704.17,361,4,0.00 ,198.000 ,57.400 ,0.330 ,34.800 ,20.900 ,14.600 ,198.00 ,0.00 ,0.00 ,10,0
8/1/19,693.17,361,4,0.00 ,198.000 ,57.400 ,0.330 ,34.800 ,20.900 ,14.600 ,198.00 ,0.00 ,0.00 ,10,0
