Date,Global Economic Conditions Indicator,Standardized GECON,Smoothed GECON3,Standardized GECON3
2026/06/01,0.491201503,1.062294153,0.152269888,0.378949381
2026/05/01,0.00074118,-0.001305821,-0.209485906,-0.521179838
2026/04/01,-0.035133019,-0.07910171,-0.177118734,-0.440643086
2026/03/01,-0.594065879,-1.291189513,-0.094285197,-0.234534742
2026/02/01,0.097842694,0.209266091,0.175564617,0.436911869
2026/01/01,0.213367594,0.459790496,0.160985055,0.400634662
2025/12/01,0.215483562,0.464379131,0.095530296,0.237768602
2025/11/01,0.054104008,0.11441547,0.066463221,0.165443227
2025/10/01,0.017003319,0.033959846,0.025597115,0.063759226
2025/09/01,0.128282337,0.275276738,0.067522242,0.168078308
2025/08/01,-0.068494312,-0.151448175,0.087817822,0.218578243
2025/07/01,0.142778701,0.306713189,0.147895976,0.368066109
2025/06/01,0.189169076,0.407314195,-0.097248789,-0.241908821
2025/05/01,0.11174015,0.239403765,-0.232395238,-0.578183373
2025/04/01,-0.592655592,-1.288131201,-0.257177117,-0.639846224
2025/03/01,-0.216270272,-0.471911421,-0.078518358,-0.195303325
2025/02/01,0.037394512,0.078179678,0.055508987,0.138186646
2025/01/01,-0.056679314,-0.125826467,0.102823344,0.255915335
2024/12/01,0.185811763,0.40003361,0.185422184,0.461439698
2024/11/01,0.179337584,0.385993867,0.164343835,0.408992057
2024/10/01,0.191117206,0.411538861,0.122706423,0.305388877
2024/09/01,0.122576715,0.262903669,0.046901009,0.116768075
2024/08/01,0.054425349,0.115112323,0.042062775,0.104729467
2024/07/01,-0.036299036,-0.081630306,0.036090784,0.08986982
2024/06/01,0.108062012,0.231427447,0.135705289,0.337732957
2024/05/01,0.036509377,0.076260194,0.182714796,0.454703112
2024/04/01,0.262544477,0.566434253,0.245409937,0.610702626
2024/03/01,0.249090535,0.53725837,0.237414775,0.590808876
2024/02/01,0.224594799,0.48413753,0.271380463,0.675323097
2024/01/01,0.23855899,0.514419926,0.194119081,0.483079519
2023/12/01,0.350987601,0.758229796,0.010958241,0.027334439
2023/11/01,-0.007189349,-1.85E-02,-0.147370549,-0.366622956
2023/10/01,-0.310923529,-0.677174103,-0.154926488,-0.385423819
2023/09/01,-1.24E-01,-0.271813753,0.015217304,0.037931939
2023/08/01,-0.029857165,-0.067660626,0.067936852,0.16910995
2023/07/01,0.199507848,0.429734597,-0.002325844,-0.005719331
2023/06/01,0.034159874,0.071165121,-0.125227218,-0.311525401
2023/05/01,-0.240645252,-0.524770393,-0.280954113,-0.699008702
2023/04/01,-0.169196275,-0.36982793,-0.240572792,-0.598530954
2023/03/01,-0.433020813,-0.941951218,-0.182305504,-0.453548926
2023/02/01,-0.119501287,-0.262060625,-0.115128607,-0.286397802
2023/01/01,0.00560559,0.009243015,-0.202346109,-0.503414428
2022/12/01,-0.231490123,-0.504916809,-0.424245494,-1.055549663
2022/11/01,-0.381153794,-0.829473697,-0.508793227,-1.265923308
2022/10/01,-0.660092566,-1.434373334,-0.406809118,-1.012164065
2022/09/01,-0.485133323,-1.0549611,-0.503867221,-1.253666303
2022/08/01,-0.075201466,-0.165993142,-0.56217673,-1.398753386
2022/07/01,-0.951266873,-2.065806644,-0.762646672,-1.89756738
2022/06/01,-0.660061851,-1.434306725,-0.579270082,-1.441285464
2022/05/01,-0.676611293,-1.470195431,-0.612510267,-1.52399447
2022/04/01,-0.401137102,-0.872808999,-0.420375259,-1.045919654
2022/03/01,-0.759782407,-1.650558226,-0.33121691,-0.824073765
2022/02/01,-0.100206269,-0.220217931,-0.004497943,-0.011123999
2022/01/01,-0.133662053,-0.292769306,0.084783058,0.211027074
2021/12/01,0.220374493,0.47498548,0.25660595,0.638560807
2021/11/01,0.167636735,0.360619699,0.229431511,0.570944734
2021/10/01,0.381806622,0.825063154,0.150271394,0.373976681
2021/09/01,0.138851177,0.29819606,0.116159482,0.289098625
2021/08/01,-0.069843617,-0.154374244,0.303737178,0.75583383
2021/07/01,0.279470886,0.60314044,0.589334569,1.466463932
2021/06/01,0.701584265,1.518524941,0.95898909,2.386246945
2021/05/01,0.786948557,1.703643808,1.053066018,2.620331356
2021/04/01,1.388434447,3.008011045,0.724970924,1.803957479
2021/03/01,0.98381505,2.130563553,0.259699534,0.646258335
2021/02/01,-0.197336724,-0.430852603,0.043625849,0.108618744
2021/01/01,-0.007379724,-0.018916611,0.030152819,0.075094836
2020/12/01,0.335593995,0.724847608,0.048952706,0.121873153
2020/11/01,-0.237755814,-0.518504431,0.00512823,0.012828069
2020/10/01,0.049019936,0.10339028,0.187617317,0.466901678
2020/09/01,0.204120568,0.439737625,0.422519595,1.051391015
2020/08/01,0.309711447,0.668719361,0.665975553,1.657163816
2020/07/01,0.75372677,1.631599873,0.583423817,1.451756658
2020/06/01,0.934488441,2.023595105,-1.094706797,-2.723807139
2020/05/01,0.062056239,0.13166048,-2.504365471,-6.231352787
2020/04/01,-4.28066507,-9.285856193,-2.5709697,-6.397078985
2020/03/01,-3.294487583,-7.147256393,-1.284734192,-3.196637745
2020/02/01,-0.137756448,-0.301648308,-0.118398878,-0.294534968
2020/01/01,-0.421958547,-0.917961863,-0.032573739,-0.08098285
2019/12/01,0.204518359,0.440600266,0.108126214,0.269110058
2019/11/01,0.119718972,0.256706438,-0.04508009,-0.112101446
2019/10/01,0.00014131,-0.002606684,-0.253813832,-0.631477619
2019/09/01,-0.255100553,-0.556117795,-0.293371352,-0.729905563
2019/08/01,-0.506482253,-1.101257856,-0.336633248,-0.837550825
2019/07/01,-0.118531249,-0.259957023,-0.211841859,-0.527041975
2019/06/01,-0.384886243,-0.837567792,-0.166264276,-0.413634768
2019/05/01,-0.132108085,-0.289399411,0.019354489,0.048226178
2019/04/01,0.0182015,0.036558192,0.045228993,0.112607723
2019/03/01,0.17197005,0.370016819,-0.050460821,-0.125489905
2019/02/01,-5.45E-02,-0.121067007,-0.253458612,-0.630593753
2019/01/01,-0.268867939,-0.585973404,-0.382462924,-0.951585296
2018/12/01,-0.437023324,-0.950630962,-0.287767233,-0.715961265
2018/11/01,-0.441497509,-0.960333568,-0.186235773,-0.463328314
2018/10/01,1.52E-02,0.030090708,1.05E-02,2.61E-02
2018/09/01,-0.132428944,-0.290095217,-0.019180324,-0.047657043
2018/08/01,0.14864579,0.319436413,0.061558823,0.153239988
2018/07/01,-0.073757818,-0.162862483,0.006092274,0.015226826
2018/06/01,0.109788496,0.235171456,0.052473486,0.130633641
2018/05/01,-0.017753856,-0.041413693,0.046872006,0.116695906
2018/04/01,0.065385818,0.138880921,0.16638028,0.414059187
2018/03/01,0.092984055,0.198729767,0.235973322,0.58722222
2018/02/01,0.340770967,0.736074259,0.277195515,0.689792243
2018/01/01,0.274164943,0.591634104,0.273416875,0.680390143
2017/12/01,0.216650634,0.466910013,0.294285657,0.732316335
2017/11/01,0.329435048,0.711491469,0.279484301,0.695487256
2017/10/01,0.33677129,0.727400659,0.274625905,0.683398481
2017/09/01,0.172246567,0.370616466,0.189185907,0.47080468
2017/08/01,0.31485986,0.679884081,0.194169447,0.483204842
2017/07/01,0.080451293,0.171551534,0.134270073,0.33416182
2017/06/01,0.187197189,0.403038009,0.176183224,0.438451101
2017/05/01,0.135161737,0.290195233,0.18421331,0.458431748
2017/04/01,0.206190746,0.444226962,0.200333016,0.498541179
2017/03/01,0.211287446,0.455279537,0.186967371,0.465284467
2017/02/01,0.183520858,0.39506561,0.154533962,0.384582903
2017/01/01,0.166093808,0.357273748,0.094307884,0.234726967
2016/12/01,0.113987221,0.244276708,8.65E-03,2.16E-02
2016/11/01,0.002842622,0.003251312,-0.056416992,-0.140310191
2016/10/01,-0.090876371,-0.199985349,-0.104185751,-0.259169532
2016/09/01,-0.081217227,-0.179038771,-0.150611899,-0.374688157
2016/08/01,-0.140463654,-0.307519088,-0.207606392,-0.516503187
2016/07/01,-0.230154814,-0.502021093,-0.224863246,-0.559442095
2016/06/01,-0.252200707,-0.549829262,-0.193867539,-0.482317853
2016/05/01,-0.192234217,-0.419787434,-0.153044164,-0.380740177
2016/04/01,-0.137167694,-0.300371553,-0.265927311,-0.661618662
2016/03/01,-0.129730581,-0.284243614,-0.355740166,-0.885093104
2016/02/01,-0.530883659,-1.154174134,-0.381205113,-0.948455581
2016/01/01,-0.406606257,-0.884669271,-0.262763687,-0.653746857
2015/12/01,-0.206125423,-0.449911555,-0.135464936,-0.336999131
2015/11/01,-0.175559381,-0.383626803,-0.163412884,-0.406539869
2015/10/01,-0.024710004,-0.056498621,-0.27716357,-0.689576983
2015/09/01,-0.289969268,-0.631733218,-0.369669457,-0.919752292
2015/08/01,-0.516811438,-1.123657469,-0.261401497,-0.650357424
2015/07/01,-0.302227665,-0.658316471,-0.086835045,-0.215997101
2015/06/01,0.034834612,0.072628342,0.037087848,0.092350738
2015/05/01,0.006887917,0.012023838,0.009668789,0.024125993
2015/04/01,0.069541016,0.14789178,-0.045916488,-0.114182591
2015/03/01,-0.047422567,-0.105752517,-0.147953523,-0.368073526
2015/02/01,-0.159867914,-0.34959868,-0.078301052,-0.194762621
2015/01/01,-0.236570089,-0.515933097,-6.24E-02,-1.55E-01
2014/12/01,0.161534846,0.347387295,0.027846412,0.069355981
2014/11/01,-0.112206054,-0.246240365,0.071816154,0.178762519
2014/10/01,0.034210445,0.071274789,0.126660126,0.315226572
2014/09/01,0.29344407,0.633442336,0.219178913,0.545433978
2014/08/01,0.052325862,0.110559429,0.232054497,0.577471309
2014/07/01,0.311766805,0.673176561,0.323348484,0.804631139
2014/06/01,0.332070824,0.717207347,0.327488581,0.814932624
2014/05/01,0.326207822,0.704492988,0.297996723,0.741550296
2014/04/01,0.324187096,0.700110891,0.283337593,0.705075105
2014/03/01,0.243595252,0.525341438,0.224952816,0.559800739
2014/02/01,0.28223043,0.609124718,0.26826995,0.667583445
2014/01/01,0.149032765,0.320275596,0.314813925,0.783395251
2013/12/01,0.373546655,0.807150796,0.319480607,0.795006998
2013/11/01,0.421862356,0.911927014,0.262788029,0.6539432
2013/10/01,0.163032811,0.350635744,0.235536586,0.586135524
2013/09/01,0.20346892,0.438324478,0.287905068,0.716440004
2013/08/01,0.340108029,0.734636628,0.260791437,0.648975234
2013/07/01,0.320138255,0.691330678,0.243041575,0.604809612
2013/06/01,0.122128027,0.261930656,0.16823481,0.418673671
2013/05/01,0.286858442,0.619160907,0.167557868,0.416989288
2013/04/01,0.09571796,0.204658445,0.122678679,0.305319842
2013/03/01,0.120097201,0.257526658,0.170929569,0.425378834
2013/02/01,0.152220875,0.327189252,0.131118271,0.326319433
2013/01/01,0.24047063,0.51856546,0.055694749,0.138648862
2012/12/01,0.000663308,-0.001474692,0.009728063,0.02427348
2012/11/01,-0.074049692,-0.163495434,0.101433933,0.252458169
2012/10/01,0.102570572,0.219518848,0.123179739,0.306566591
2012/09/01,0.275780919,0.595138469,0.007552985,0.018861401
2012/08/01,-0.008812276,-0.022023206,-0.269516265,-0.670548779
2012/07/01,-0.244309689,-0.532716998,-0.320116164,-0.796452631
2012/06/01,-0.55542683,-1.20739784,-0.26901976,-0.669313364
2012/05/01,-0.160611974,-0.35121223,-0.126570212,-0.314867072
2012/04/01,-0.091020476,-0.20029785,0.060992276,1.52E-01
2012/03/01,-0.128078187,-0.280660275,0.164985258,0.410588062
2012/02/01,0.402075492,0.869017717,0.240534842,0.598572301
2012/01/01,0.22095847,0.47625188,0.0822244,0.204660561
2011/12/01,0.098570563,0.210844529,-0.103067881,-0.256388021
2011/11/01,-0.072855833,-0.16090646,-0.30112319,-0.749193868
2011/10/01,-0.334918372,-0.72920872,-0.465458353,-1.15809646
2011/09/01,-0.495595364,-1.077648821,-0.326290002,-0.81181452
2011/08/01,-0.565861322,-1.230025817,-0.165595654,-0.411971088
2011/07/01,0.082586678,0.176182276,0.041056131,0.102224713
2011/06/01,-0.013512319,-0.032215602,-0.025717873,-0.063923926
2011/05/01,0.054094035,0.114393843,-0.106624465,-0.265237599
2011/04/01,-0.117735336,-0.258231027,-0.059115909,-0.147025698
2011/03/01,-0.256232095,-0.55857163,0.018563207,0.046257293
2011/02/01,0.196619704,0.423471441,0.229134262,0.570205112
2011/01/01,0.115302012,0.247127929,0.223620657,0.556486031
