Date,GPR
1/1/11,79.42
2/1/11,90.01
3/1/11,136.89
4/1/11,91.02
5/1/11,105.34
6/1/11,84.39
7/1/11,78.92
8/1/11,86.95
9/1/11,83.35
10/1/11,76.34
11/1/11,83.16
12/1/11,85.34
1/1/12,79.63
2/1/12,92.45
3/1/12,88.76
4/1/12,96.02
5/1/12,78.17
6/1/12,77.82
7/1/12,82.81
8/1/12,74.88
9/1/12,69.28
10/1/12,81.66
11/1/12,81.39
12/1/12,74.83
1/1/13,90.66
2/1/13,81.59
3/1/13,75.9
4/1/13,95.11
5/1/13,83.72
6/1/13,82.97
7/1/13,73.98
8/1/13,90.96
9/1/13,100.46
10/1/13,72.95
11/1/13,77.78
12/1/13,70.37
1/1/14,77.92
2/1/14,69
3/1/14,119.84
4/1/14,93.22
5/1/14,83.43
6/1/14,98.77
7/1/14,138.75
8/1/14,136.45
9/1/14,131.56
10/1/14,83.66
11/1/14,84.38
12/1/14,86.53
1/1/15,111.99
2/1/15,111.92
3/1/15,104.24
4/1/15,102.19
5/1/15,76.26
6/1/15,85.91
7/1/15,106.81
8/1/15,82.48
9/1/15,98.77
10/1/15,91.93
11/1/15,150.72
12/1/15,148.24
1/1/16,118.21
2/1/16,103.75
3/1/16,109.72
4/1/16,85.22
5/1/16,88.33
6/1/16,90.17
7/1/16,114.61
8/1/16,98.74
9/1/16,104.55
10/1/16,85.75
11/1/16,82.92
12/1/16,102.18
1/1/17,105.2
2/1/17,114.21
3/1/17,96.64
4/1/17,119.46
5/1/17,102.58
6/1/17,126.79
7/1/17,102.81
8/1/17,138.53
9/1/17,115.53
10/1/17,91.46
11/1/17,92.6
12/1/17,82.72
1/1/18,92.43
2/1/18,64.49
3/1/18,111.96
4/1/18,123.26
5/1/18,125.67
6/1/18,103.97
7/1/18,110.03
8/1/18,112.74
9/1/18,75.05
10/1/18,92.02
11/1/18,80.41
12/1/18,90.61
1/1/19,87.42
2/1/19,96.8
3/1/19,82.33
4/1/19,79.25
5/1/19,106.47
6/1/19,106.59
7/1/19,93.52
8/1/19,103.4
9/1/19,90.37
10/1/19,97.84
11/1/19,73.08
12/1/19,74.28
1/1/20,138.42
2/1/20,75.96
3/1/20,81.54
4/1/20,69.34
5/1/20,68.51
6/1/20,71.23
7/1/20,66.47
8/1/20,65.47
9/1/20,80.38
10/1/20,76.08
11/1/20,70.07
12/1/20,64.07
1/1/21,77.42
2/1/21,73.96
3/1/21,78.62
4/1/21,88.17
5/1/21,93.01
6/1/21,74.13
7/1/21,58.42
8/1/21,89.49
9/1/21,80.7
10/1/21,79.03
11/1/21,86.57
12/1/21,105.35
1/1/22,138.67
2/1/22,216.16
3/1/22,318.95
4/1/22,191.14
5/1/22,142.26
6/1/22,130.71
7/1/22,117.18
8/1/22,132.86
9/1/22,131.99
10/1/22,143.16
11/1/22,116.72
12/1/22,111.2
1/1/23,104.27
2/1/23,120.99
3/1/23,105.38
4/1/23,106.81
5/1/23,108.47
6/1/23,110.53
7/1/23,107.45
8/1/23,101.14
9/1/23,98.63
10/1/23,197.89
11/1/23,156.7
12/1/23,142.28
1/1/24,160.37
2/1/24,146.6
3/1/24,133.21
4/1/24,163.95
5/1/24,130.52
6/1/24,113.09
7/1/24,92.39
8/1/24,140.98
9/1/24,130.36
10/1/24,130.69
11/1/24,128.9
12/1/24,142.37
1/1/25,113.23
2/1/25,136.98
3/1/25,175.9
4/1/25,140.97
5/1/25,166.83
6/1/25,221.13
7/1/25,134.22
8/1/25,138.99
9/1/25,126.74
10/1/25,154.51
11/1/25,104.35
12/1/25,132.49
1/1/26,168.63
2/1/26,119.87
3/1/26,330.94
4/1/26,254.43
5/1/26,203.56
6/1/26,173.64
7/1/26,173.64
