Date,GSCPI
30-Jun-2026,1.249401668
31-May-2026,1.81015122
30-Apr-2026,1.83688795
31-Mar-2026,0.712756405
28-Feb-2026,0.56629669
31-Jan-2026,0.454057306
31-Dec-2025,0.577340675
30-Nov-2025,-0.122682196
31-Oct-2025,-0.072440257
30-Sep-2025,-0.01727367
31-Aug-2025,-0.081460673
31-Jul-2025,0.026895493
30-Jun-2025,0.096047451
31-May-2025,0.290259965
30-Apr-2025,-0.239936409
31-Mar-2025,-0.186074414
28-Feb-2025,-0.003514998
31-Jan-2025,-0.187295448
31-Dec-2024,-0.274403311
30-Nov-2024,-0.290397692
31-Oct-2024,-0.375906474
30-Sep-2024,0.106006041
31-Aug-2024,0.214056303
31-Jul-2024,-0.054104687
30-Jun-2024,-0.354309639
31-May-2024,-0.586727581
30-Apr-2024,-0.96373375
31-Mar-2024,-0.35873129
29-Feb-2024,-0.194003647
31-Jan-2024,-0.347777144
31-Dec-2023,-0.160212622
30-Nov-2023,0.170483958
31-Oct-2023,-0.376749689
30-Sep-2023,-0.6528328
31-Aug-2023,-1.082466244
31-Jul-2023,-0.919084555
30-Jun-2023,-1.102266436
31-May-2023,-1.575302835
30-Apr-2023,-1.310290524
31-Mar-2023,-1.163503989
28-Feb-2023,-0.225071183
31-Jan-2023,1.0821577
31-Dec-2022,1.33927513
30-Nov-2022,1.274171787
31-Oct-2022,1.122482314
30-Sep-2022,1.027991893
31-Aug-2022,1.531203821
31-Jul-2022,1.845806096
30-Jun-2022,2.430240004
31-May-2022,2.755473219
30-Apr-2022,3.5430469
31-Mar-2022,2.862159656
28-Feb-2022,2.810254472
31-Jan-2022,3.720431135
31-Dec-2021,4.436906791
30-Nov-2021,4.353384073
31-Oct-2021,3.939095186
30-Sep-2021,3.391320037
31-Aug-2021,3.330502001
31-Jul-2021,2.954564013
30-Jun-2021,2.770227328
31-May-2021,3.0414409
30-Apr-2021,2.758211847
31-Mar-2021,2.274463659
28-Feb-2021,1.954856501
31-Jan-2021,1.333004807
31-Dec-2020,1.68838727
30-Nov-2020,0.754405246
31-Oct-2020,0.098553843
30-Sep-2020,0.613473651
31-Aug-2020,1.463748484
31-Jul-2020,2.94634297
30-Jun-2020,2.269835342
31-May-2020,2.56434935
30-Apr-2020,3.348963698
31-Mar-2020,2.621117162
29-Feb-2020,1.246552588
31-Jan-2020,0.059570045
31-Dec-2019,0.034666406
30-Nov-2019,0.140625569
31-Oct-2019,0.080245015
30-Sep-2019,0.127318939
31-Aug-2019,-0.296709251
31-Jul-2019,-0.454657612
30-Jun-2019,-0.471666709
31-May-2019,-0.625125511
30-Apr-2019,0.011936281
31-Mar-2019,0.217248588
28-Feb-2019,0.142716524
31-Jan-2019,0.511586363
31-Dec-2018,0.460575696
30-Nov-2018,0.450744737
31-Oct-2018,0.522839874
30-Sep-2018,0.460043046
31-Aug-2018,0.524333635
31-Jul-2018,0.42711066
30-Jun-2018,0.418478932
31-May-2018,0.365787131
30-Apr-2018,0.505004466
31-Mar-2018,0.431008057
28-Feb-2018,0.048849295
31-Jan-2018,0.569905238
31-Dec-2017,0.668653006
30-Nov-2017,0.804516162
31-Oct-2017,0.771654653
30-Sep-2017,0.532302722
31-Aug-2017,0.379873974
31-Jul-2017,0.078621403
30-Jun-2017,0.079665774
31-May-2017,-0.158137213
30-Apr-2017,0.003578639
31-Mar-2017,0.070682327
28-Feb-2017,0.149776598
31-Jan-2017,0.156223144
31-Dec-2016,-0.241728272
30-Nov-2016,-0.326982777
31-Oct-2016,-0.071550792
30-Sep-2016,-0.300232115
31-Aug-2016,0.087812617
31-Jul-2016,-0.17864596
30-Jun-2016,-0.295955924
31-May-2016,-0.728510793
30-Apr-2016,-0.274824144
31-Mar-2016,-0.657753264
29-Feb-2016,-0.756525679
31-Jan-2016,-0.811892101
31-Dec-2015,-0.619896064
30-Nov-2015,-0.657656087
31-Oct-2015,-0.249812762
30-Sep-2015,-0.411585299
31-Aug-2015,-0.700710761
31-Jul-2015,-0.429231412
30-Jun-2015,-0.881997818
31-May-2015,-0.568606338
30-Apr-2015,-0.366803186
31-Mar-2015,-0.404190914
28-Feb-2015,-0.335663982
31-Jan-2015,-0.524144507
31-Dec-2014,-0.418433482
30-Nov-2014,-0.995354019
31-Oct-2014,-0.608307713
30-Sep-2014,-0.828498453
31-Aug-2014,-0.64457845
31-Jul-2014,-0.825766479
30-Jun-2014,-0.703160926
31-May-2014,-0.833271585
30-Apr-2014,-0.820565096
31-Mar-2014,-0.629365447
28-Feb-2014,-0.29330487
31-Jan-2014,-0.654602922
31-Dec-2013,-0.510647337
30-Nov-2013,-0.708316356
31-Oct-2013,-0.204275872
30-Sep-2013,-0.291944978
31-Aug-2013,-0.582070056
31-Jul-2013,-0.667880118
30-Jun-2013,-0.676055351
31-May-2013,-0.869410721
30-Apr-2013,-0.746971595
31-Mar-2013,-0.558186074
28-Feb-2013,-0.393078677
31-Jan-2013,-0.070613931
31-Dec-2012,-0.156508171
30-Nov-2012,-0.358616026
31-Oct-2012,-0.011571121
30-Sep-2012,-0.259240268
31-Aug-2012,-0.137101444
31-Jul-2012,-0.67480812
30-Jun-2012,-0.705402916
31-May-2012,-0.684285635
30-Apr-2012,-0.328282267
31-Mar-2012,-0.377894041
29-Feb-2012,-0.000316241
31-Jan-2012,0.373159116
31-Dec-2011,-0.054473247
30-Nov-2011,0.139141372
31-Oct-2011,-0.387670591
30-Sep-2011,-0.556984017
31-Aug-2011,-0.113440123
31-Jul-2011,0.285250242
30-Jun-2011,0.20112329
31-May-2011,0.920836547
30-Apr-2011,1.585633901
31-Mar-2011,0.717872289
28-Feb-2011,0.336408601
31-Jan-2011,0.74507328
31-Jan-2010,	-0.337779974
28-Feb-2010,	-0.176530855
31-Mar-2010,	0.333071963
30-Apr-2010,	0.25945655
31-May-2010,	0.39973153
30-Jun-2010,	-0.056651002
31-Jul-2010,	-0.061722736
31-Aug-2010,	0.305463606
30-Sep-2010,	0.358378273
31-Oct-2010,	0.677806583
30-Nov-2010,	0.430473791
31-Dec-2010,	0.676261028
