Date,INDPRO
6/1/26,102.6395
5/1/26,102.5606
4/1/26,102.4196
3/1/26,101.6172
2/1/26,101.9263
1/1/26,101.0388
12/1/25,101.4941
11/1/25,101.0344
10/1/25,101.2195
9/1/25,101.668
8/1/25,101.6247
7/1/25,101.894
6/1/25,101.4785
5/1/25,100.9655
4/1/25,101.1279
3/1/25,101.0404
2/1/25,101.0993
1/1/25,100.0647
12/1/24,100.3273
11/1/24,99.2925
10/1/24,99.4695
9/1/24,99.8084
8/1/24,100.4309
7/1/24,99.9757
6/1/24,100.894
5/1/24,100.863
4/1/24,100.2434
3/1/24,100.4575
2/1/24,100.285
1/1/24,99.2223
12/1/23,100.6031
11/1/23,100.8639
10/1/23,100.4689
9/1/23,101.0211
8/1/23,100.8393
7/1/23,100.9067
6/1/23,100.1196
5/1/23,100.9286
4/1/23,101.253
3/1/23,101.0205
2/1/23,100.6416
1/1/23,100.505
12/1/22,99.7664
11/1/22,100.9552
10/1/22,101.2529
9/1/22,101.2918
8/1/22,101.0963
7/1/22,101.223
6/1/22,101.018
5/1/22,101.3335
4/1/22,101.44
3/1/22,101.3907
2/1/22,100.8064
1/1/22,100.1856
12/1/21,100.5726
11/1/21,100.8654
10/1/21,100.1861
9/1/21,98.8579
8/1/21,100.0437
7/1/21,100.2519
6/1/21,99.7987
5/1/21,99.4333
4/1/21,98.5587
3/1/21,98.3856
2/1/21,95.6149
1/1/21,98.8822
12/1/20,98.363
11/1/20,97.0816
10/1/20,96.7394
9/1/20,95.9669
8/1/20,95.9549
7/1/20,95.0256
6/1/20,91.5934
5/1/20,85.9604
4/1/20,84.5619
3/1/20,97.4078
2/1/20,101.3735
1/1/20,101.0338
12/1/19,101.7003
11/1/19,101.9372
10/1/19,101.4281
9/1/19,102.2917
8/1/19,102.639
7/1/19,101.9408
6/1/19,102.4375
5/1/19,102.392
4/1/19,102.274
3/1/19,102.8757
2/1/19,102.8371
1/1/19,103.4021
12/1/18,104.0936
11/1/18,104.0681
10/1/18,103.9856
9/1/18,104.1004
8/1/18,104.0327
7/1/18,103.3646
6/1/18,103.198
5/1/18,102.4024
4/1/18,103.3329
3/1/18,102.2067
2/1/18,101.7085
1/1/18,101.4625
12/1/17,101.4644
11/1/17,101.2664
10/1/17,101.0247
9/1/17,99.7954
8/1/17,99.6925
7/1/17,100.1068
6/1/17,100.3471
5/1/17,100.1408
4/1/17,100.0224
3/1/17,99.0137
2/1/17,98.3646
1/1/17,98.7611
12/1/16,99.0214
11/1/16,98.3491
10/1/16,98.7611
9/1/16,98.7457
8/1/16,98.85
7/1/16,98.9992
6/1/16,98.8833
5/1/16,98.4184
4/1/16,98.6421
3/1/16,98.3096
2/1/16,99.0445
1/1/16,99.5607
12/1/15,99.0417
11/1/15,99.5298
10/1/15,100.2675
9/1/15,100.7547
8/1/15,101.0367
7/1/15,101.2228
6/1/15,100.571
5/1/15,100.8883
4/1/15,101.3355
3/1/15,101.8914
2/1/15,102.2335
1/1/15,102.8905
12/1/14,103.7044
11/1/14,103.7126
10/1/14,103.0764
9/1/14,103.0641
8/1/14,102.7688
7/1/14,102.9632
6/1/14,102.735
5/1/14,102.3836
4/1/14,101.9928
3/1/14,101.8942
2/1/14,100.9168
1/1/14,100.1599
12/1/13,100.5175
11/1/13,100.3158
10/1/13,100.082
9/1/13,100.161
8/1/13,99.6543
7/1/13,99.0814
6/1/13,99.3897
5/1/13,99.1839
4/1/13,99.1065
3/1/13,99.1921
2/1/13,98.7941
1/1/13,98.3342
12/1/12,98.3101
11/1/12,98.0777
10/1/12,97.7193
9/1/12,97.381
8/1/12,97.4525
7/1/12,97.8713
6/1/12,97.6663
5/1/12,97.6609
4/1/12,97.4359
3/1/12,96.74
2/1/12,97.2435
1/1/12,96.9318
12/1/11,96.3571
11/1/11,95.8485
10/1/11,95.8568
9/1/11,95.1961
8/1/11,95.2749
7/1/11,94.636
6/1/11,94.172
5/1/11,93.888
4/1/11,93.7749
3/1/11,94.0788
2/1/11,93.1102
1/1/11,93.4814
